row_type,event_id,event_type,event_label_ko,count,frame,time_sec,team_id,team_name,shot_attempt_count,shot_made_count,shot_missed_count,pass_count,steal_or_block_count,foul_count,rebound_count,shot_success_rate_pct,possession_frame_count,possession_time_sec,possession_pct,player_track_id,secondary_track_id,confidence,details
event,E00096,steal_or_block,스틸/블락,,2103,70.1,1,unknown,,,,,,,,,,,,2873,2820,0.52,possession_changed_opponent_team;gap_frames=1
event,E00097,foul,파울,,2103,70.1,1,unknown,,,,,,,,,,,,2820,2873,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00098,pass,패스,,2160,72.0,1,unknown,,,,,,,,,,,,2823,2873,0.58,possession_changed_same_team;gap_frames=30
event,E00099,pass,패스,,2185,72.833,1,unknown,,,,,,,,,,,,2826,2823,0.58,possession_changed_same_team;gap_frames=1
event,E00100,pass,패스,,2187,72.9,1,unknown,,,,,,,,,,,,2823,2826,0.58,possession_changed_same_team;gap_frames=1
event,E00101,pass,패스,,2191,73.033,1,unknown,,,,,,,,,,,,2873,2823,0.58,possession_changed_same_team;gap_frames=1
event,E00102,pass,패스,,2207,73.567,1,unknown,,,,,,,,,,,,2826,2873,0.58,possession_changed_same_team;gap_frames=1
event,E00103,pass,패스,,2220,74.0,1,unknown,,,,,,,,,,,,2873,2826,0.58,possession_changed_same_team;gap_frames=11
event,E00104,steal_or_block,스틸/블락,,2271,75.7,2,unknown,,,,,,,,,,,,2822,2873,0.52,possession_changed_opponent_team;gap_frames=42
event,E00105,steal_or_block,스틸/블락,,2284,76.133,1,unknown,,,,,,,,,,,,2826,2822,0.52,possession_changed_opponent_team;gap_frames=12
event,E00106,foul,파울,,2284,76.133,1,unknown,,,,,,,,,,,,2822,2826,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00107,pass,패스,,2292,76.4,1,unknown,,,,,,,,,,,,2827,2826,0.58,possession_changed_same_team;gap_frames=5
event,E00108,steal_or_block,스틸/블락,,2311,77.033,2,unknown,,,,,,,,,,,,2953,2827,0.52,possession_changed_opponent_team;gap_frames=2
event,E00109,pass,패스,,2321,77.367,2,unknown,,,,,,,,,,,,2822,2953,0.58,possession_changed_same_team;gap_frames=1
event,E00110,pass,패스,,2324,77.467,2,unknown,,,,,,,,,,,,2953,2822,0.58,possession_changed_same_team;gap_frames=1
event,E00111,steal_or_block,스틸/블락,,2330,77.667,1,unknown,,,,,,,,,,,,2827,2953,0.52,possession_changed_opponent_team;gap_frames=3
event,E00112,pass,패스,,2413,80.433,1,team_1,,,,,,,,,,,,3176,2827,0.58,possession_changed_same_team;gap_frames=1
event,E00113,pass,패스,,2415,80.5,1,unknown,,,,,,,,,,,,2827,3176,0.58,possession_changed_same_team;gap_frames=1
event,E00114,pass,패스,,2445,81.5,1,team_1,,,,,,,,,,,,3283,2827,0.58,possession_changed_same_team;gap_frames=20
event,E00115,steal_or_block,스틸/블락,,2451,81.7,2,team_2,,,,,,,,,,,,3295,3283,0.52,possession_changed_opponent_team;gap_frames=5
event,E00116,steal_or_block,스틸/블락,,2457,81.9,1,unknown,,,,,,,,,,,,3160,3295,0.52,possession_changed_opponent_team;gap_frames=3
event,E00117,pass,패스,,2462,82.067,1,unknown,,,,,,,,,,,,3297,3160,0.58,possession_changed_same_team;gap_frames=2
event,E00118,pass,패스,,2464,82.133,1,unknown,,,,,,,,,,,,3314,3297,0.58,possession_changed_same_team;gap_frames=1
event,E00119,pass,패스,,2469,82.3,1,unknown,,,,,,,,,,,,3342,3314,0.58,possession_changed_same_team;gap_frames=2
event,E00120,shot_attempt,슛시도,,2477,82.567,1,unknown,,,,,,,,,,,,3342,,0.813,near_rim_distance_px=34.7
event,E00121,shot_made,슛성공,,2477,82.567,1,unknown,,,,,,,,,,,,3342,,0.693,ball_crossed_rim_zone
event,E00122,foul,파울,,2562,85.4,2,unknown,,,,,,,,,,,,3415,3421,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00123,steal_or_block,스틸/블락,,2574,85.8,2,unknown,,,,,,,,,,,,3482,3415,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00124,steal_or_block,스틸/블락,,2580,86.0,1,unknown,,,,,,,,,,,,3388,3482,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00125,steal_or_block,스틸/블락,,2588,86.267,2,unknown,,,,,,,,,,,,3421,3388,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00126,steal_or_block,스틸/블락,,2591,86.367,1,unknown,,,,,,,,,,,,3388,3421,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00127,steal_or_block,스틸/블락,,2596,86.533,2,unknown,,,,,,,,,,,,3421,3388,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00128,shot_attempt,슛시도,,2597,86.567,1,unknown,,,,,,,,,,,,3388,,0.6,near_rim_distance_px=204.6
event,E00129,shot_missed,슛실패,,2597,86.567,1,unknown,,,,,,,,,,,,3388,,0.48,near_rim_no_make_detected
event,E00130,steal_or_block,스틸/블락,,2612,87.067,1,unknown,,,,,,,,,,,,3388,3421,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00131,rebound,리바운드,,2612,87.067,1,unknown,,,,,,,,,,,,3388,,0.5,offensive_rebound_after_missed_shot_frame=2597
event,E00132,steal_or_block,스틸/블락,,2631,87.7,2,unknown,,,,,,,,,,,,3421,3388,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00133,steal_or_block,스틸/블락,,2650,88.333,1,unknown,,,,,,,,,,,,3493,3421,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=12
event,E00134,foul,파울,,2650,88.333,1,unknown,,,,,,,,,,,,3388,3421,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00135,pass,패스,,2657,88.567,1,unknown,,,,,,,,,,,,3388,3493,0.58,possession_changed_same_team;gap_frames=1
event,E00136,steal_or_block,스틸/블락,,2666,88.867,2,unknown,,,,,,,,,,,,3421,3388,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=4
event,E00137,pass,패스,,2674,89.133,2,unknown,,,,,,,,,,,,3576,3421,0.58,possession_changed_same_team;gap_frames=7
event,E00138,steal_or_block,스틸/블락,,2676,89.2,1,unknown,,,,,,,,,,,,3571,3576,0.52,possession_changed_opponent_team;gap_frames=1
event,E00139,steal_or_block,스틸/블락,,2681,89.367,2,unknown,,,,,,,,,,,,3576,3571,0.52,possession_changed_opponent_team;gap_frames=1
event,E00140,steal_or_block,스틸/블락,,2686,89.533,1,unknown,,,,,,,,,,,,3587,3576,0.52,possession_changed_opponent_team;gap_frames=2
event,E00141,pass,패스,,2691,89.7,1,team_1,,,,,,,,,,,,3574,3587,0.58,possession_changed_same_team;gap_frames=1
event,E00142,steal_or_block,스틸/블락,,2694,89.8,2,unknown,,,,,,,,,,,,3576,3574,0.52,possession_changed_opponent_team;gap_frames=2
event,E00143,pass,패스,,2699,89.967,2,team_2,,,,,,,,,,,,3596,3576,0.58,possession_changed_same_team;gap_frames=3
event,E00144,pass,패스,,2706,90.2,2,team_2,,,,,,,,,,,,3617,3596,0.58,possession_changed_same_team;gap_frames=3
event,E00145,shot_attempt,슛시도,,2714,90.467,2,team_2,,,,,,,,,,,,3617,,0.82,near_rim_distance_px=13.0
event,E00146,shot_made,슛성공,,2714,90.467,2,team_2,,,,,,,,,,,,3617,,0.7,ball_crossed_rim_zone
event,E00147,shot_attempt,슛시도,,2837,94.567,1,unknown,,,,,,,,,,,,3720,,0.465,near_rim_distance_px=138.9
event,E00148,shot_missed,슛실패,,2837,94.567,1,unknown,,,,,,,,,,,,3720,,0.345,near_rim_no_make_detected
event,E00149,foul,파울,,2866,95.533,2,unknown,,,,,,,,,,,,3664,3906,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00150,rebound,리바운드,,2866,95.533,2,unknown,,,,,,,,,,,,3664,,0.5,defensive_rebound_after_missed_shot_frame=2837
event,E00151,steal_or_block,스틸/블락,,2870,95.667,1,unknown,,,,,,,,,,,,3906,3664,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00152,steal_or_block,스틸/블락,,2873,95.767,2,unknown,,,,,,,,,,,,3799,3906,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00153,steal_or_block,스틸/블락,,2876,95.867,1,unknown,,,,,,,,,,,,3906,3799,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00154,pass,패스,,2892,96.4,1,unknown,,,,,,,,,,,,3647,3906,0.58,possession_changed_same_team;gap_frames=7
event,E00155,pass,패스,,2920,97.333,1,unknown,,,,,,,,,,,,3906,3647,0.58,possession_changed_same_team;gap_frames=22
event,E00156,pass,패스,,2999,99.967,1,unknown,,,,,,,,,,,,4034,3906,0.58,possession_changed_same_team;gap_frames=76
event,E00157,steal_or_block,스틸/블락,,3020,100.667,2,unknown,,,,,,,,,,,,3824,4034,0.52,possession_changed_opponent_team;gap_frames=19
event,E00158,foul,파울,,3020,100.667,2,unknown,,,,,,,,,,,,3824,4060,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00159,steal_or_block,스틸/블락,,3049,101.633,1,unknown,,,,,,,,,,,,3725,3824,0.52,possession_changed_opponent_team;gap_frames=20
event,E00160,pass,패스,,3052,101.733,1,unknown,,,,,,,,,,,,3647,3725,0.58,possession_changed_same_team;gap_frames=1
event,E00161,pass,패스,,3057,101.9,1,unknown,,,,,,,,,,,,3725,3647,0.58,possession_changed_same_team;gap_frames=1
event,E00162,pass,패스,,3083,102.767,1,unknown,,,,,,,,,,,,3647,3725,0.58,possession_changed_same_team;gap_frames=1
event,E00163,steal_or_block,스틸/블락,,3160,105.333,2,unknown,,,,,,,,,,,,4102,3647,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=54
event,E00164,foul,파울,,3160,105.333,2,unknown,,,,,,,,,,,,4040,4136,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00165,pass,패스,,3176,105.867,2,unknown,,,,,,,,,,,,4133,4102,0.58,possession_changed_same_team;gap_frames=7
event,E00166,pass,패스,,3180,106.0,2,unknown,,,,,,,,,,,,4136,4133,0.58,possession_changed_same_team;gap_frames=2
event,E00167,steal_or_block,스틸/블락,,3184,106.133,1,unknown,,,,,,,,,,,,4040,4136,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=3
event,E00168,pass,패스,,3195,106.5,1,unknown,,,,,,,,,,,,4148,4040,0.58,possession_changed_same_team;gap_frames=1
event,E00169,steal_or_block,스틸/블락,,3197,106.567,2,unknown,,,,,,,,,,,,4133,4148,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00170,steal_or_block,스틸/블락,,3199,106.633,1,unknown,,,,,,,,,,,,3647,4133,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00171,steal_or_block,스틸/블락,,3204,106.8,2,unknown,,,,,,,,,,,,4133,3647,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=1
event,E00172,shot_attempt,슛시도,,3215,107.167,2,unknown,,,,,,,,,,,,4133,,0.525,near_rim_distance_px=93.1
event,E00173,shot_missed,슛실패,,3215,107.167,2,unknown,,,,,,,,,,,,4133,,0.405,near_rim_no_make_detected
event,E00174,pass,패스,,3217,107.233,2,unknown,,,,,,,,,,,,4173,4133,0.58,possession_changed_same_team;gap_frames=1
event,E00175,rebound,리바운드,,3217,107.233,2,unknown,,,,,,,,,,,,4173,,0.5,offensive_rebound_after_missed_shot_frame=3215
event,E00176,steal_or_block,스틸/블락,,3228,107.6,1,unknown,,,,,,,,,,,,4195,4173,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=2
event,E00177,pass,패스,,3239,107.967,1,unknown,,,,,,,,,,,,3647,4195,0.58,possession_changed_same_team;gap_frames=8
event,E00178,steal_or_block,스틸/블락,,3286,109.533,2,unknown,,,,,,,,,,,,4252,3647,0.52,possession_changed_opponent_team;gap_frames=36
event,E00179,steal_or_block,스틸/블락,,3317,110.567,1,team_1,,,,,,,,,,,,4358,4252,0.52,possession_changed_opponent_team;gap_frames=1
event,E00180,foul,파울,,3317,110.567,1,team_1,,,,,,,,,,,,4364,67978,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00181,steal_or_block,스틸/블락,,3323,110.767,2,team_2,,,,,,,,,,,,4377,4358,0.52,possession_changed_opponent_team;gap_frames=4
event,E00182,pass,패스,,3342,111.4,2,unknown,,,,,,,,,,,,4438,4377,0.58,possession_changed_same_team;gap_frames=12
event,E00183,steal_or_block,스틸/블락,,3352,111.733,1,unknown,,,,,,,,,,,,4473,4438,0.52,possession_changed_opponent_team;gap_frames=3
event,E00184,steal_or_block,스틸/블락,,3355,111.833,2,unknown,,,,,,,,,,,,4438,4473,0.52,possession_changed_opponent_team;gap_frames=2
event,E00185,pass,패스,,3359,111.967,2,unknown,,,,,,,,,,,,4494,4438,0.58,possession_changed_same_team;gap_frames=1
event,E00186,pass,패스,,3406,113.533,2,unknown,,,,,,,,,,,,4602,4494,0.58,possession_changed_same_team;gap_frames=45
event,E00187,shot_attempt,슛시도,,3408,113.6,2,unknown,,,,,,,,,,,,4494,,0.585,near_rim_distance_px=70.5
event,E00188,shot_made,슛성공,,3408,113.6,2,unknown,,,,,,,,,,,,4494,,0.465,ball_crossed_rim_zone
event,E00189,steal_or_block,스틸/블락,,3888,129.6,2,unknown,,,,,,,,,,,,5235,5238,0.52,possession_changed_opponent_team;gap_frames=24
event,E00190,steal_or_block,스틸/블락,,3946,131.533,1,unknown,,,,,,,,,,,,5238,5235,0.52,possession_changed_opponent_team;gap_frames=1
event,E00191,foul,파울,,3946,131.533,1,unknown,,,,,,,,,,,,5235,5238,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00192,steal_or_block,스틸/블락,,3956,131.867,2,unknown,,,,,,,,,,,,5482,5238,0.52,possession_changed_opponent_team;gap_frames=1
event,E00193,steal_or_block,스틸/블락,,3960,132.0,1,unknown,,,,,,,,,,,,5480,5482,0.52,possession_changed_opponent_team;gap_frames=1
event,E00194,steal_or_block,스틸/블락,,3967,132.233,2,unknown,,,,,,,,,,,,5482,5480,0.52,possession_changed_opponent_team;gap_frames=1
event,E00195,steal_or_block,스틸/블락,,3975,132.5,1,unknown,,,,,,,,,,,,5480,5482,0.52,possession_changed_opponent_team;gap_frames=1
event,E00196,steal_or_block,스틸/블락,,4012,133.733,2,unknown,,,,,,,,,,,,5537,5480,0.52,opponent_possession_after_missed_shot_or_block;gap_frames=3
event,E00197,shot_attempt,슛시도,,4052,135.067,2,unknown,,,,,,,,,,,,5537,,0.435,near_rim_distance_px=201.3
event,E00198,shot_missed,슛실패,,4052,135.067,2,unknown,,,,,,,,,,,,5537,,0.315,near_rim_no_make_detected
event,E00199,pass,패스,,4103,136.767,2,unknown,,,,,,,,,,,,5569,5537,0.58,possession_changed_same_team;gap_frames=85
event,E00200,rebound,리바운드,,4103,136.767,2,unknown,,,,,,,,,,,,5569,,0.5,offensive_rebound_after_missed_shot_frame=4052
event,E00201,pass,패스,,4125,137.5,2,unknown,,,,,,,,,,,,5598,5569,0.58,possession_changed_same_team;gap_frames=21
event,E00202,steal_or_block,스틸/블락,,4140,138.0,1,unknown,,,,,,,,,,,,5431,5598,0.52,possession_changed_opponent_team;gap_frames=8
event,E00203,foul,파울,,4140,138.0,1,unknown,,,,,,,,,,,,5515,5598,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00204,steal_or_block,스틸/블락,,4146,138.2,2,unknown,,,,,,,,,,,,5537,5431,0.52,possession_changed_opponent_team;gap_frames=1
event,E00205,steal_or_block,스틸/블락,,4181,139.367,1,unknown,,,,,,,,,,,,5431,5537,0.52,possession_changed_opponent_team;gap_frames=1
event,E00206,steal_or_block,스틸/블락,,4184,139.467,2,unknown,,,,,,,,,,,,5598,5431,0.52,possession_changed_opponent_team;gap_frames=1
event,E00207,pass,패스,,4210,140.333,2,unknown,,,,,,,,,,,,5537,5598,0.58,possession_changed_same_team;gap_frames=22
event,E00208,shot_attempt,슛시도,,4370,145.667,1,team_1,,,,,,,,,,,,5869,,0.82,near_rim_distance_px=10.3
event,E00209,shot_made,슛성공,,4370,145.667,1,team_1,,,,,,,,,,,,5869,,0.7,ball_crossed_rim_zone
event,E00210,pass,패스,,4746,158.2,1,unknown,,,,,,,,,,,,6167,6162,0.58,possession_changed_same_team;gap_frames=27
event,E00211,steal_or_block,스틸/블락,,4761,158.7,2,unknown,,,,,,,,,,,,6168,6167,0.52,possession_changed_opponent_team;gap_frames=12
event,E00212,shot_attempt,슛시도,,4890,163.0,2,unknown,,,,,,,,,,,,6168,,0.811,near_rim_distance_px=35.2
event,E00213,shot_made,슛성공,,4890,163.0,2,unknown,,,,,,,,,,,,6168,,0.691,ball_crossed_rim_zone
event,E00214,shot_attempt,슛시도,,4950,165.0,2,unknown,,,,,,,,,,,,6168,,0.718,near_rim_distance_px=59.2
event,E00215,shot_made,슛성공,,4950,165.0,2,unknown,,,,,,,,,,,,6168,,0.598,ball_crossed_rim_zone
event,E00216,shot_attempt,슛시도,,5025,167.5,2,unknown,,,,,,,,,,,,6166,,0.613,near_rim_distance_px=86.7
event,E00217,shot_missed,슛실패,,5025,167.5,2,unknown,,,,,,,,,,,,6166,,0.493,near_rim_no_make_detected
event,E00218,rebound,리바운드,,5043,168.1,2,unknown,,,,,,,,,,,,6166,,0.5,offensive_rebound_after_missed_shot_frame=5025
event,E00219,pass,패스,,5051,168.367,2,unknown,,,,,,,,,,,,6576,6166,0.58,possession_changed_same_team;gap_frames=2
event,E00220,pass,패스,,5076,169.2,2,unknown,,,,,,,,,,,,6690,6576,0.58,possession_changed_same_team;gap_frames=22
event,E00221,steal_or_block,스틸/블락,,5125,170.833,1,team_1,,,,,,,,,,,,6791,6690,0.52,possession_changed_opponent_team;gap_frames=44
